m is 100
  i   S
-------
  0   0
  1   1
  2   3
  3   4
  4   5
  5   7
  6   9
  7  16
  8  25
  9  36
 10  81
   i   card  C
-----------------
   0    1   11
   0    2   11
   0    3   11
   0    4   11
   0    5   11
   0    6   11
   0    7   11
   0    8   11
   0    9   11
   0   10   11
   1    1    1
   1    2   11
   1    3   11
   1    4   11
   1    5   11
   1    6   11
   1    7   11
   1    8   11
   1    9   11
   1   10   11
   2    1   11
   2    2   11
   2    3   11
   2    4   11
   2    5   11
   2    6   11
   2    7   11
   2    8   11
   2    9   11
   2   10   11
   3    1    2
   3    2   11
   3    3   11
   3    4   11
   3    5   11
   3    6   11
   3    7   11
   3    8   11
   3    9   11
   3   10   11
   4    1    3
   4    2    2
   4    3   11
   4    4   11
   4    5   11
   4    6   11
   4    7   11
   4    8   11
   4    9   11
   4   10   11
   5    1    4
   5    2    3
   5    3   11
   5    4   11
   5    5   11
   5    6   11
   5    7   11
   5    8   11
   5    9   11
   5   10   11
   6    1   11
   6    2    4
   6    3   11
   6    4   11
   6    5   11
   6    6   11
   6    7   11
   6    8   11
   6    9   11
   6   10   11
   7    1    5
   7    2    3
   7    3   11
   7    4   11
   7    5   11
   7    6   11
   7    7   11
   7    8   11
   7    9   11
   7   10   11
   8    1   11
   8    2    4
   8    3    3
   8    4   11
   8    5   11
   8    6   11
   8    7   11
   8    8   11
   8    9   11
   8   10   11
   9    1    6
   9    2    4
   9    3    4
   9    4   11
   9    5   11
   9    6   11
   9    7   11
   9    8   11
   9    9   11
   9   10   11
  10    1   11
  10    2    5
  10    3    4
  10    4   11
  10    5   11
  10    6   11
  10    7   11
  10    8   11
  10    9   11
  10   10   11
  11    1   11
  11    2    5
  11    3    5
  11    4   11
  11    5   11
  11    6   11
  11    7   11
  11    8   11
  11    9   11
  11   10   11
  12    1   11
  12    2    5
  12    3    4
  12    4   11
  12    5   11
  12    6   11
  12    7   11
  12    8   11
  12    9   11
  12   10   11
  13    1   11
  13    2    6
