m is 197
  i   S
-------
  0   0
  1   2
  2   3
  3   5
  4   7
  5  11
  6  13
  7  17
  8  19
  9  23
 10  29
 11  31
 12  37
 13  41
 14  43
 15  47
   i   card  C
-----------------
   0    1   16
   0    2   16
   0    3   16
   0    4   16
   0    5   16
   0    6   16
   0    7   16
   0    8   16
   0    9   16
   0   10   16
   0   11   16
   0   12   16
   0   13   16
   0   14   16
   0   15   16
   1    1   16
   1    2   16
   1    3   16
   1    4   16
   1    5   16
   1    6   16
   1    7   16
   1    8   16
   1    9   16
   1   10   16
   1   11   16
   1   12   16
   1   13   16
   1   14   16
   1   15   16
   2    1    1
   2    2   16
   2    3   16
   2    4   16
   2    5   16
   2    6   16
   2    7   16
   2    8   16
   2    9   16
   2   10   16
   2   11   16
   2   12   16
   2   13   16
   2   14   16
   2   15   16
   3    1    2
   3    2   16
   3    3   16
   3    4   16
   3    5   16
   3    6   16
   3    7   16
   3    8   16
   3    9   16
   3   10   16
   3   11   16
   3   12   16
   3   13   16
   3   14   16
   3   15   16
   4    1   16
   4    2   16
   4    3   16
   4    4   16
   4    5   16
   4    6   16
   4    7   16
   4    8   16
   4    9   16
   4   10   16
   4   11   16
   4   12   16
   4   13   16
   4   14   16
   4   15   16
   5    1    3
   5    2    2
   5    3   16
   5    4   16
   5    5   16
   5    6   16
   5    7   16
   5    8   16
   5    9   16
   5   10   16
   5   11   16
   5   12   16
   5   13   16
   5   14   16
   5   15   16
   6    1   16
   6    2   16
   6    3   16
   6    4   16
   6    5   16
   6    6   16
   6    7   16
   6    8   16
   6    9   16
   6   10   16
   6   11   16
   6   12   16
   6   13   16
   6   14   16
   6   15   16
   7    1    4
   7    2    3
   7    3   16
   7    4   16
   7    5   16
   7    6   16
   7    7   16
   7    8   16
   7    9   16
   7   10   16
   7   11   16
   7   12   16
   7   13   16
   7   14   16
   7   15   16
   8    1   16
   8    2    3
   8    3   16
   8    4   16
   8    5   16
   8    6   16
   8    7   16
   8    8   16
   8    9   16
